library,count
ibm_cloud_sdk_core,82.0
pystick,84.0
knox,81.0
bip44,79.0
tikzplotlib,80.0
banana_dev,81.0
matplotlib_venn,80.0
xformers,81.0
lightning,82.0
pyshark,81.0
socketpool,81.0
snscrape,83.0
snownlp,81.0
pyxel,80.0
plac,80.0
pyasn1,80.0
firebase,79.0
rpi_ws281x,81.0
arviz,88.0
pymilvus,85.0
pep8,79.0
pycups,83.0
alpaca_trade_api,83.0
gooey,81.0
plotnine,80.0
affine,79.0
alpha_vantage,80.0
distributed,80.0
django_on_heroku,84.0
noise,79.0
vizseq,82.0
patsy,78.0
django_celery_beat,81.0
labelme,81.0
panel,82.0
aqt,78.0
luma,82.0
luigi,78.0
zxcvbn,82.0
astor,83.0
py7zr,79.0
direct,79.0
external,76.0
readchar,81.0
coffeehouse,81.0
GPy,82.0
rp2,83.0
rocksdb,77.0
pytest_bdd,82.0
pipenv,78.0
ask_sdk_core,81.0
flask_rq,77.0
assertpy,84.0
python_daemon,76.0
pbkdf2,77.0
peakutils,77.0
bitsandbytes,79.0
cowpy,79.0
aiida,78.0
ttkbootstrap,81.0
shodan,77.0
js2py,78.0
kaggle,78.0
fs,80.0
jsonpath_ng,78.0
Xlib,76.0
pyfaidx,77.0
surprise,78.0
rarfile,78.0
kaldi_io,79.0
stl,76.0
polyline,79.0
notebook,75.0
vkbottle,75.0
fastdtw,80.0
raygun4py,76.0
rl,78.0
panda3d,76.0
creds,78.0
treelib,77.0
pick,74.0
dictdiffer,74.0
palettable,78.0
testfixtures,75.0
mongomock,75.0
pytrends,78.0
unicodedata2,79.0
duckdb,76.0
torch_cluster,74.0
obs,74.0
simple_pid,75.0
uncertainties,75.0
pyfftw,74.0
pydirectinput,76.0
fastprogress,73.0
simtk,75.0
pluggy,76.0
docxtpl,76.0
crcmod,76.0
resampy,78.0
mnist,76.0
slowapi,75.0
tinytag,73.0
tritonclient,77.0
pmdarima,77.0
atomicwrites,71.0
bitcoin,75.0
rx,72.0
gnupg,74.0
pygetwindow,73.0
asyncpraw,73.0
oyaml,72.0
textract,74.0
moderngl,74.0
pandas_ta,77.0
trafilatura,74.0
pikepdf,72.0
yapf,74.0
ursina,72.0
stringcase,72.0
cftime,71.0
pyonmttok,72.0
parsel,80.0
adapt,72.0
torchviz,75.0
wasabi,75.0
pulumi,76.0
tox,70.0
freegames,74.0
user_agents,72.0
yaspin,69.0
gym_minigrid,71.0
astral,73.0
yellowbrick,73.0
mir_eval,71.0
hvac,73.0
pycodestyle,72.0
robotframework,70.0
ansicolors,74.0
envparse,70.0
pynewtonmath,76.0
tika,71.0
branca,70.0
base,69.0
wavelink,69.0
dolfin,70.0
ffpyplayer,68.0
alphabet_detector,72.0
urbandict,73.0
nptyping,69.0
uniborg,74.0
adal,67.0
fairlearn,69.0
instabot,70.0
openbabel,72.0
msrestazure,69.0
colorthief,69.0
line_profiler,70.0
betamax,71.0
dhooks,67.0
efficientnet,70.0
beartype,69.0
humps,69.0
colorcet,68.0
srsly,71.0
imagesize,68.0
cython_bbox,70.0
